topic19,project,period,forecast,mpc,central,assum,assumpt,around,path,next,littl,profil,end,condit,year,line,impli,gradual,throughout,broadli
 ,0.175,0.089,0.086,0.068,0.064,0.047,0.037,0.028,0.027,0.023,0.02,0.019,0.018,0.018,0.017,0.015,0.014,0.014,0.014,0.014
topic20,employ,labour,unemploy,work,hour,number,job,market,increas,peopl,particip,time,averag,staff,may,lf,rise,popul,equilibrium,skill
 ,0.085,0.072,0.069,0.051,0.035,0.031,0.023,0.022,0.022,0.021,0.017,0.016,0.014,0.014,0.013,0.013,0.013,0.012,0.011,0.01
topic21,bank,polici,mpc,committe,purchas,monetari,meet,rate,asset,maintain,billion,econom,vote,member,stock,decis,set,reserv,note,programm
 ,0.079,0.062,0.044,0.043,0.039,0.038,0.036,0.029,0.029,0.026,0.026,0.016,0.016,0.014,0.014,0.014,0.013,0.012,0.011,0.01
topic22,inflat,target,cpi,pressur,rpix,price,higher,domest,expect,vat,remain,rise,close,inflationari,persist,downward,impact,upward,influenc,judg
 ,0.406,0.083,0.075,0.044,0.025,0.022,0.019,0.016,0.014,0.012,0.012,0.011,0.011,0.009,0.009,0.009,0.009,0.008,0.008,0.008
topic23,bank,credit,condit,lend,fund,borrow,loan,avail,financ,cost,improv,tighten,secur,lender,financi,spread,compani,reduc,debt,unsecur
 ,0.111,0.082,0.056,0.041,0.038,0.034,0.024,0.021,0.018,0.018,0.018,0.017,0.015,0.014,0.014,0.013,0.013,0.012,0.011,0.011
topic24,sector,year,privat,increas,govern,public,spend,fiscal,plan,nomin,overal,budget,account,tax,total,effect,substanti,consolid,offset,announc
 ,0.091,0.065,0.054,0.053,0.045,0.033,0.025,0.024,0.02,0.019,0.019,0.017,0.015,0.013,0.013,0.013,0.013,0.012,0.011,0.011
topic25,section,factor,may,reflect,recent,box,discuss,past,develop,weak,page,part,influenc,explain,associ,possibl,rel,key,weigh,role
 ,0.103,0.079,0.074,0.063,0.057,0.041,0.04,0.038,0.033,0.033,0.03,0.025,0.023,0.014,0.013,0.012,0.012,0.011,0.01,0.01
topic26,growth,wage,cost,earn,pay,labour,pressur,higher,rise,settlement,product,increas,unit,real,recent,may,payment,lower,employe,contribut
 ,0.099,0.094,0.089,0.058,0.054,0.044,0.037,0.028,0.023,0.017,0.017,0.017,0.016,0.015,0.012,0.011,0.011,0.011,0.01,0.01
topic27,measur,chang,can,use,differ,weight,rel,provid,base,movement,affect,tend,compon,indic,gener,exampl,includ,index,directli,mean
 ,0.104,0.081,0.042,0.039,0.034,0.021,0.018,0.018,0.017,0.016,0.016,0.016,0.015,0.015,0.014,0.012,0.011,0.011,0.01,0.009
topic28,will,effect,impact,adjust,affect,depend,extent,reduc,chang,may,addit,lower,come,time,direct,respons,uncertain,lead,therefor,might
 ,0.143,0.058,0.051,0.033,0.033,0.032,0.031,0.027,0.021,0.019,0.017,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.012,0.012
topic29,financi,asset,corpor,money,equiti,bond,yield,deposit,hold,market,broad,increas,nomin,non,investor,narrow,gilt,pension,spread,return
 ,0.06,0.047,0.042,0.041,0.036,0.036,0.026,0.025,0.023,0.022,0.021,0.021,0.019,0.018,0.016,0.012,0.012,0.012,0.011,0.011
