topic0,market,move,use,point,increas,thing,rel,gener,direct,curv,cours,day,basi,quit,follow,time,novemb,around,know,actual
 ,0.125,0.082,0.066,0.048,0.037,0.029,0.029,0.029,0.028,0.02,0.018,0.017,0.015,0.013,0.013,0.012,0.011,0.01,0.008,0.007
topic22,rate,interest,level,low,rais,close,cut,normal,point,lower,margin,higher,pass,keep,neg,averag,zero,histor,gap,order
 ,0.333,0.117,0.045,0.032,0.031,0.021,0.017,0.017,0.015,0.015,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.007,0.006
topic23,growth,product,wage,labour,pick,unemploy,weak,slack,averag,actual,employ,firm,trend,start,cost,recent,strong,level,sign,histor
 ,0.167,0.077,0.058,0.054,0.049,0.03,0.024,0.016,0.015,0.015,0.015,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.01,0.009
topic24,may,fall,output,quarter,much,capac,growth,spare,level,recess,downturn,sharp,signific,pretti,suggest,seem,third,past,figur,reflect
 ,0.067,0.066,0.063,0.049,0.04,0.04,0.031,0.027,0.025,0.019,0.019,0.018,0.017,0.017,0.017,0.015,0.015,0.012,0.011,0.011
topic25,fiscal,govern,clear,place,action,taken,measur,central,matter,plan,deal,import,deficit,will,set,framework,role,consolid,chancellor,budget
 ,0.062,0.057,0.04,0.034,0.032,0.029,0.027,0.027,0.024,0.024,0.021,0.02,0.017,0.016,0.015,0.013,0.012,0.012,0.011,0.011
topic26,look,report,chart,number,data,point,actual,indic,estim,quit,page,show,revis,fan,past,gdp,publish,averag,line,percentag
 ,0.11,0.063,0.057,0.049,0.047,0.038,0.023,0.023,0.023,0.022,0.022,0.022,0.017,0.015,0.015,0.014,0.014,0.014,0.013,0.012
topic27,economi,adjust,can,factor,posit,whole,global,uk,limit,grow,influenc,develop,open,equilibrium,forc,varieti,momentum,core,speed,underli
 ,0.212,0.062,0.048,0.037,0.03,0.029,0.028,0.027,0.022,0.02,0.019,0.018,0.015,0.013,0.013,0.009,0.009,0.008,0.008,0.008
topic28,can,judgement,will,happen,know,futur,cannot,alway,event,precis,exactli,form,sensibl,reason,pretend,occur,respond,shock,anticip,path
 ,0.098,0.084,0.08,0.062,0.046,0.043,0.031,0.026,0.021,0.019,0.019,0.017,0.016,0.014,0.014,0.012,0.012,0.012,0.012,0.011
topic29,term,risk,balanc,run,reason,short,medium,longer,downsid,sheet,look,broadli,upsid,believ,assess,outlook,remain,suppos,mark,respect
 ,0.184,0.128,0.073,0.055,0.048,0.046,0.041,0.029,0.022,0.021,0.018,0.012,0.012,0.008,0.008,0.008,0.006,0.006,0.004,0.004
